Position,Name,Type,Signal,Label
1,VBAT,Power,,ok
2,PC13-TAMPER-RTC,I/O,,na
3,PC14-OSC32_IN,I/O,,na
4,PC15-OSC32_OUT,I/O,,na
5,PD0-OSC_IN,I/O,,ok
6,PD1-OSC_OUT,I/O,,ok
7,NRST,Reset,,ok
8,VSSA,Power,,ok
9,VDDA,Power,,ok
10,PA0-WKUP,I/O,ADC1_IN0,ok
11,PA1,crys,ADC1_IN1,ok
12,PA2,crys,ADC1_IN2,ok
13,PA3,I/O,ADC1_IN3,ok
14,PA4,I/O,ADC1_IN4,ok
15,PA5,I/O,ADC1_IN5,ok
16,PA6,I/O,ADC1_IN6,ok
17,PA7,I/O,ADC1_IN7,ok
18,PB0,I/O,ADC1_IN8,ok
19,PB1,I/O,,ok
20,PB2,Output,GPIO_Output,ok
21,PB10,I/O,USART3_TX,ok
22,PB11,I/O,USART3_RX,ok
23,VSS,Power,,ok
24,VDD,Power,,ok
25,PB12,I/O,SPI2_NSS,ok
26,PB13,I/O,SPI2_SCK,ok
27,PB14,I/O,SPI2_MISO,ok
28,PB15,I/O,SPI2_MOSI,ok
29,PA8,I/O,,ok
30,PA9,I/O,,ok
31,PA10,I/O,,ok
32,PA11,I/O,USB_DM,ok
33,PA12,I/O,USB_DP,ok
34,PA13,I/O,,ok
35,VSS,Power,,ok
36,VDD,Power,,ok
37,PA14,I/O,,ok
38,PA15,I/O,,ok
39,PB3,I/O,,ok
40,PB4,I/O,,ok
41,PB5,I/O,,ok
42,PB6,I/O,,ok
43,PB7,I/O,,ok
44,BOOT0,Boot,,ok
45,PB8,I/O,,ok
46,PB9,I/O,,ok
47,VSS,Power,,ok
48,VDD,Power,,ok
